rl-A1G1O1R1T1,11696.116399463965
rl-A1G1O12R1T1,11750.194320468712
rl-A1G1O121R1T1,11554.075595287579
rl-A1G1O2R1T1,11143.099556261674
rl-A1G1O2R22T1,11868.113249337885
rl-A1G1O20R1T1,9645.086307566073
rl-A1G1O201R1T1,9907.035331557081
rl-A1G1O22R1T1,11509.857491335712
rl-A1G1O221R1T1,10974.744878540298
rl-A1G1O222R1T1,11309.808432442387
rl-A1G1O1R1T2,11556.139712800099
rl-A1G1O12R1T2,11766.586084145383
rl-A1G1O121R1T2,11550.05979422694
rl-A1G1O2R1T2,11308.121230162405
rl-A1G1O22R1T2,10682.825390670412
rl-A1G1O221R1T2,11311.815375980876
rl-A110G1O2R1T1,11077.032267630799
rl-A111G1O2R1T1,10147.956705041815
rl-A112G1O2R1T1,11218.68663730169
rl-A113G1O1R1T3,11520.850139641158
rl-A113G1O2R1T3,11846.540398286967
rl-A113G1O2R22T3,12014.826028895977
rl-A113G1O222R1T3,11189.016290236064
rl-A113G1O1R1T4,11889.103378352595
rl-A113G1O2R1T4,12034.485563036014
rl-A21G1O3R1T3,11931.710679589061
rl-A22G1O3R1T3,11973.497156852425
rl-A23G1O3R1T3,12015.220110661281
rl-A24G1O3R1T3,11388.49727394828
Heuristic,11514.72768996354
MILP,13020.262417196
rl-greedy,11866.85396940693
rl-random,8654.410788062278
